artist,title,album,date,lyrics
Metallica,Battery,Master of Puppets,1986-03-03,
Metallica,Blackened,...And Justice for All,1988-08-25,
Metallica,The Unforgiven II,Reload,1997-11-18,
Metallica,"Atlas, Rise!",Hardwired…To Self-Destruct (Deluxe Edition),2016-10-31,
Metallica,Turn the Page,Garage Inc.,1998-11-24,
Metallica,The Four Horsemen,Kill ‘Em All,1983-07-25,
Metallica,Seek & Destroy,Kill ‘Em All,1983-07-25,
Metallica,Ride the Lightning,Ride the Lightning,1984-07-27,
Metallica,The Day That Never Comes,Death Magnetic,2008-09-12,
Metallica,The Unforgiven III,Death Magnetic,2008-09-12,
Metallica,Fuel,Reload,1997-11-18,
Metallica,Hardwired,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Disposable Heroes,Master of Puppets,1986-03-03,
Metallica,To Live Is to Die,...And Justice for All,1988-08-25,
Metallica,Dyers Eve,...And Justice for All,1988-08-25,
Metallica,Harvester of Sorrow,...And Justice for All,1988-08-25,
Metallica,Whiskey in the Jar,Garage Inc.,1998-11-24,
Metallica,The Thing That Should Not Be,Master of Puppets,1986-03-03,
Metallica,St. Anger,St. Anger,2003-06-05,
Metallica,Moth Into Flame,Hardwired…To Self-Destruct (Deluxe Edition),2016-09-26,
Metallica,Whiplash,Kill ‘Em All,1983-07-25,
Metallica,Now That We’re Dead,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Orion,Master of Puppets,1986-03-03,
Metallica,Don’t Tread on Me,Metallica,1991-08-12,
Metallica,Until It Sleeps,Load,1996-06-04,
Metallica,No Leaf Clover,S&M (Live),1999-11-23,
Metallica,Leper Messiah,Master of Puppets,1986-03-03,
Metallica,King Nothing,Load,1996-06-04,
Metallica,Eye of the Beholder,...And Justice for All,1988-08-25,
Metallica,Spit Out the Bone,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Mama Said,Load,1996-06-04,
Metallica,Halo on Fire,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Hero of the Day,Load,1996-06-04,
Metallica,Fight Fire with Fire,Ride the Lightning,1984-07-27,
Metallica,"Damage, Inc.",Master of Puppets,1986-03-03,
Metallica,Am I Evil?,Garage Inc.,1998-11-24,
Metallica,The Memory Remains,Reload,1997-11-18,
Metallica,The Shortest Straw,...And Justice for All,1988-08-25,
Beyoncé,Drunk in Love,BEYONCÉ,2013-12-17,
Beyoncé,Formation,Lemonade,2016-02-06,
Beyoncé,Partition,BEYONCÉ,2013-12-13,
Beyoncé,Mine,BEYONCÉ,2013-12-13,
Beyoncé,Hold Up,Lemonade,2016-04-23,
Beyoncé,Sorry,Lemonade,2016-04-23,
Beyoncé,***Flawless (Remix),BEYONCÉ (Platinum Edition),2014-08-02,
Beyoncé,If I Were a Boy,I Am... Sasha Fierce,2008-10-12,
Beyoncé,Pray You Catch Me,Lemonade,2016-04-23,
Beyoncé,All Night,Lemonade,2016-04-23,
Beyoncé,***Flawless,BEYONCÉ,2013-12-13,
Beyoncé,Halo,I Am... Sasha Fierce,2009-02-20,
Beyoncé,Freedom,Lemonade,2016-04-23,
Beyoncé,Don’t Hurt Yourself,Lemonade,2016-04-23,
Beyoncé,Rocket,BEYONCÉ,2013-12-13,
Beyoncé,Blow,BEYONCÉ,2013-12-13,
Beyoncé,Sandcastles,Lemonade,2016-04-23,
Beyoncé,7/11,BEYONCÉ (Platinum Edition),2014-11-24,
Beyoncé,6 Inch,Lemonade,2016-04-23,
Beyoncé,Love Drought,Lemonade,2016-04-23,
Beyoncé,Listen,B’Day,2006-12-05,
Beyoncé,Pretty Hurts,BEYONCÉ,2013-12-13,
Beyoncé,Drunk in Love (Remix),BEYONCÉ (Platinum Edition),2014-11-24,
Beyoncé,XO,BEYONCÉ,2013-12-13,
Beyoncé,Haunted,BEYONCÉ,2013-12-13,
Beyoncé,Jealous,BEYONCÉ,2013-12-13,
Beyoncé,Daddy Lessons,Lemonade,2016-04-23,
Beyoncé,Heaven,BEYONCÉ,2013-12-13,
Beyoncé,Countdown,4,2011-10-04,
Beyoncé,Bow Down,,,
Beyoncé,Irreplaceable,B’Day,2006-10-23,
Beyoncé,BLACK PARADE,The Lion King: The Gift [Deluxe Edition],2020-06-19,
Beyoncé,Crazy in Love,Dangerously In Love,2003-05-18,
Beyoncé,Forward,Lemonade,2016-04-23,
Beyoncé,Blue,BEYONCÉ,2013-12-13,
Beyoncé,MOOD 4 EVA,The Lion King: The Gift,2019-07-18,
Beyoncé,Lemonade Film (Script),Lemonade,2016-04-23,
Beyoncé,Upgrade U,B’Day,2006-09-04,
Beyoncé,Superpower,BEYONCÉ,2013-12-13,
Beyoncé,No Angel,BEYONCÉ,2013-12-13,
Beyoncé,Love on Top,4,2011-09-12,
Beyoncé,Resentment,B’Day,2006-09-04,
Beyoncé,Best Thing I Never Had,4,2011-06-01,
Beyoncé,SPIRIT,The Lion King: The Gift,2019-07-10,
Beyoncé,Single Ladies (Put a Ring on It),I Am... Sasha Fierce,2008-09-13,
Beyoncé,Party,4,2011-08-30,
Beyoncé,Back to Black,The Great Gatsby: Music from Baz Luhrmann’s Film (Deluxe Edition),2013-05-06,
Beyoncé,Die With You,,2015-04-04,
Beyoncé,Run the World (Girls),4,2011-04-21,
Beyoncé,Dance for You,4,2011-06-28,
